Bike_Model,Age,Service_Type,Service_History,Service_Time (hours:minutes),Build_Year,Mileage (km),Last_Serviced_Date (months),Current_Year
Yamaha FZ V3,4,Brake Inspection,23,05:29,2019,15285,8,2023
Yamaha FZ V1,3,Fork Oil Change,9,02:49,2020,21933,10,2023
Yamaha R15 V4,8,Oil Change,31,07:11,2015,53291,4,2023
Yamaha FZ V3,0,Coolant Oil Change,12,-1:08,2023,30502,12,2023
Yamaha FZ V3,7,Brake Inspection,25,09:36,2016,16128,4,2023
Yamaha FZ V2,0,Chain Inspection,20,01:49,2023,37379,6,2023
Yamaha FZ V2,11,Oil Change,23,09:82,2012,13891,10,2023
Yamaha MT15 v1,10,Air Filter Change,18,10:03,2013,16181,1,2023
Yamaha FZ V1,4,Complete Check Up,30,11:-14,2019,45899,10,2023
Yamaha R15 V3,3,Oil Change,-4,04:45,2020,638,7,2023
Yamaha FZ V1,3,Air Filter Change,2,04:48,2020,35989,4,2023
Yamaha MT15 v1,4,Oil Change,28,04:41,2019,28947,8,2023
Yamaha MT15 v1,6,Air Filter Change,3,06:47,2017,11845,7,2023
Yamaha FZ X,1,Air Filter Change,10,02:43,2022,28003,7,2023
Yamaha MT15 v1,9,Chain Inspection,6,06:00,2014,34285,13,2023
Yamaha FZ V1,13,Complete Check Up,23,25:28,2010,41338,3,2023
Yamaha FZ V2,2,Chain Inspection,13,-1:36,2021,14232,3,2023
Yamaha MT15 v2,2,Brake Fluid Change,33,03:30,2021,28945,4,2023
Yamaha FZ 250,4,Complete Check Up,26,09:13,2019,28974,1,2023
Yamaha R15 V1,1,Fork Oil Change,22,00:29,2022,11396,-1,2023
Yamaha R15 V1,4,Air Filter Change,6,01:27,2019,20738,6,2023
Yamaha FZ V1,11,Complete Check Up,-1,22:28,2012,46652,4,2023
Yamaha MT15 v2,4,Complete Check Up,18,11:40,2019,24412,6,2023
Yamaha FZ X,12,Chain Inspection,21,10:26,2011,26531,8,2023
Yamaha R15 V3,5,Fork Oil Change,16,06:45,2018,16392,9,2023
Yamaha FZ V1,6,Fork Oil Change,8,08:47,2017,30837,0,2023
Yamaha FZ V2,13,Brake Inspection,28,10:19,2010,13761,5,2023
Yamaha FZ 250,8,Coolant Oil Change,10,08:32,2015,53124,11,2023
Yamaha FZ X,6,Coolant Oil Change,4,04:26,2017,36915,5,2023
Yamaha FZ X,12,Air Filter Change,19,12:20,2011,44625,11,2023
Yamaha FZ V1,2,Air Filter Change,27,02:37,2021,25083,3,2023
Yamaha FZ 250,6,Oil Change,-4,06:16,2017,51255,9,2023
Yamaha R15 V1,7,Fork Oil Change,28,05:23,2016,40336,14,2023
Yamaha R15 V4,1,Brake Fluid Change,4,-2:28,2022,11740,3,2023
Yamaha FZ V3,8,Chain Inspection,-4,11:05,2015,32529,1,2023
Yamaha FZ V2,4,Brake Inspection,17,01:-20,2019,19592,7,2023
Yamaha R15 V1,9,Coolant Oil Change,15,12:37,2014,18989,9,2023
Yamaha FZ 250,9,Air Filter Change,21,09:58,2014,14063,6,2023
Yamaha FZ V2,13,Brake Inspection,2,11:24,2010,25790,7,2023
Yamaha FZ V2,6,Chain Inspection,12,04:-22,2017,17312,-1,2023
Yamaha R15 V4,3,Complete Check Up,2,09:45,2020,4954,6,2023
Yamaha MT15 v2,5,Complete Check Up,21,09:59,2018,10006,11,2023
Yamaha R15 V4,0,Oil Change,7,00:-4,2023,4069,-1,2023
Yamaha FZ V2,2,Oil Change,6,03:12,2021,42781,12,2023
Yamaha MT15 v2,9,Brake Fluid Change,25,08:73,2014,19187,0,2023
Yamaha FZ V1,13,Chain Inspection,25,10:14,2010,15810,5,2023
Yamaha FZ 250,9,Fork Oil Change,22,08:-5,2014,63396,8,2023
Yamaha R15 V4,6,Brake Inspection,20,03:61,2017,48279,5,2023
Yamaha FZ 250,4,Brake Fluid Change,19,02:-11,2019,3980,2,2023
Yamaha MT15 v2,4,Fork Oil Change,6,04:23,2019,9119,3,2023
Yamaha MT15 v2,0,Brake Fluid Change,21,03:05,2023,29829,7,2023
Yamaha MT15 v1,13,Brake Fluid Change,1,14:-16,2010,56736,13,2023
Yamaha R15 V3,13,Air Filter Change,21,12:-12,2010,52200,4,2023
Yamaha FZ V2,13,Brake Fluid Change,15,11:-5,2010,40743,8,2023
Yamaha R15 V3,0,Brake Fluid Change,-4,-2:67,2023,27395,12,2023
Yamaha FZ V2,13,Chain Inspection,10,10:51,2010,15601,7,2023
Yamaha FZ V3,10,Chain Inspection,17,07:56,2013,60812,8,2023
Yamaha FZ V2,9,Brake Inspection,26,10:18,2014,21702,6,2023
Yamaha FZ X,6,Brake Inspection,25,03:44,2017,51927,6,2023
Yamaha FZ X,1,Oil Change,12,01:25,2022,4327,6,2023
Yamaha MT15 v1,0,Complete Check Up,0,03:-18,2023,41266,12,2023
Yamaha FZ V3,13,Complete Check Up,9,28:-10,2010,11997,14,2023
Yamaha FZ V2,10,Brake Inspection,23,12:21,2013,28626,14,2023
Yamaha FZ V2,13,Fork Oil Change,12,10:27,2010,62420,1,2023
Yamaha MT15 v1,5,Complete Check Up,23,07:31,2018,29353,5,2023
Yamaha R15 V3,1,Brake Fluid Change,24,02:22,2022,2100,11,2023
Yamaha R15 V1,5,Brake Inspection,8,04:51,2018,11590,9,2023
Yamaha FZ V2,3,Coolant Oil Change,16,01:61,2020,2751,8,2023
Yamaha FZ V2,3,Fork Oil Change,4,04:02,2020,24802,4,2023
Yamaha FZ 250,6,Fork Oil Change,7,03:71,2017,22812,12,2023
Yamaha FZ V3,9,Chain Inspection,-1,11:47,2014,58659,3,2023
Yamaha R15 V2,13,Fork Oil Change,7,16:25,2010,41342,9,2023
Yamaha FZ V3,7,Air Filter Change,24,07:52,2016,37290,10,2023
Yamaha R15 V1,3,Complete Check Up,11,09:59,2020,6139,5,2023
Yamaha FZ V1,7,Complete Check Up,28,16:28,2016,51162,9,2023
Yamaha R15 V3,4,Oil Change,10,06:03,2019,37656,8,2023
Yamaha MT15 v1,1,Fork Oil Change,26,-1:29,2022,26670,6,2023
Yamaha FZ X,3,Complete Check Up,24,09:52,2020,6956,5,2023
Yamaha MT15 v2,11,Coolant Oil Change,9,08:44,2012,42361,11,2023
Yamaha FZ X,12,Chain Inspection,24,09:44,2011,46230,2,2023
Yamaha R15 V1,4,Complete Check Up,2,07:-14,2019,19580,1,2023
Yamaha MT15 v1,7,Oil Change,7,09:50,2016,41544,14,2023
Yamaha R15 V4,5,Brake Inspection,34,07:53,2018,27312,7,2023
Yamaha FZ X,9,Chain Inspection,19,07:47,2014,4460,2,2023
Yamaha FZ V3,2,Complete Check Up,14,03:38,2021,14161,3,2023
Yamaha FZ V3,7,Coolant Oil Change,9,08:16,2016,47428,6,2023
Yamaha R15 V1,9,Fork Oil Change,9,07:-6,2014,14023,3,2023
Yamaha R15 V3,13,Brake Inspection,18,15:26,2010,20869,5,2023
Yamaha MT15 v1,12,Coolant Oil Change,28,15:62,2011,66687,2,2023
Yamaha FZ V2,9,Brake Fluid Change,22,07:41,2014,49590,10,2023
Yamaha MT15 v2,0,Fork Oil Change,16,-1:09,2023,36144,7,2023
Yamaha FZ V2,3,Brake Fluid Change,5,05:25,2020,14050,11,2023
Yamaha R15 V4,3,Brake Fluid Change,33,06:86,2020,44431,8,2023
Yamaha FZ V1,11,Air Filter Change,7,12:34,2012,55552,3,2023
Yamaha R15 V4,4,Brake Inspection,8,05:50,2019,9916,4,2023
Yamaha FZ V3,0,Coolant Oil Change,-1,-3:00,2023,31315,8,2023
Yamaha R15 V3,12,Air Filter Change,7,13:07,2011,56202,9,2023
Yamaha R15 V4,5,Chain Inspection,28,08:43,2018,14594,3,2023
Yamaha FZ V3,6,Coolant Oil Change,23,06:22,2017,19389,5,2023
Yamaha MT15 v1,8,Brake Fluid Change,18,11:69,2015,57534,5,2023
Yamaha FZ 250,0,Chain Inspection,-3,02:-8,2023,24036,7,2023
Yamaha MT15 v1,3,Fork Oil Change,-2,06:27,2020,22973,11,2023
Yamaha R15 V1,5,Oil Change,24,02:11,2018,47407,12,2023
Yamaha FZ 250,3,Air Filter Change,10,04:-1,2020,12509,4,2023
Yamaha FZ V2,2,Chain Inspection,4,05:-2,2021,27107,3,2023
Yamaha R15 V1,13,Fork Oil Change,11,10:64,2010,69701,10,2023
Yamaha FZ V3,10,Air Filter Change,20,11:60,2013,41957,3,2023
Yamaha FZ V1,12,Air Filter Change,7,13:51,2011,65180,8,2023
Yamaha FZ V1,12,Oil Change,26,13:55,2011,27716,13,2023
Yamaha MT15 v2,7,Air Filter Change,-2,04:30,2016,31092,7,2023
Yamaha R15 V2,10,Brake Fluid Change,11,07:12,2013,43025,1,2023
Yamaha FZ X,11,Chain Inspection,0,14:30,2012,46965,-1,2023
Yamaha FZ X,5,Oil Change,9,05:58,2018,36167,12,2023
Yamaha MT15 v2,3,Air Filter Change,7,04:45,2020,45994,9,2023
Yamaha FZ V3,7,Oil Change,-4,09:14,2016,9653,6,2023
Yamaha R15 V1,10,Coolant Oil Change,9,10:22,2013,67626,5,2023
Yamaha R15 V3,5,Chain Inspection,3,02:49,2018,32790,2,2023
Yamaha R15 V3,1,Fork Oil Change,12,00:60,2022,19806,5,2023
Yamaha FZ V3,13,Oil Change,11,10:27,2010,37418,3,2023
Yamaha R15 V2,12,Brake Inspection,8,15:37,2011,24334,3,2023
Yamaha R15 V2,5,Chain Inspection,2,04:44,2018,34059,10,2023
Yamaha FZ V2,0,Air Filter Change,12,01:44,2023,21885,11,2023
Yamaha R15 V1,7,Air Filter Change,25,10:60,2016,54947,7,2023
Yamaha MT15 v2,10,Complete Check Up,23,21:44,2013,8663,8,2023
Yamaha R15 V2,0,Oil Change,9,00:18,2023,9291,6,2023
Yamaha R15 V2,12,Brake Fluid Change,0,12:40,2011,41173,5,2023
Yamaha MT15 v1,7,Chain Inspection,20,07:02,2016,10924,11,2023
Yamaha MT15 v2,12,Complete Check Up,32,26:-14,2011,14099,12,2023
Yamaha R15 V2,9,Oil Change,15,11:04,2014,53995,10,2023
Yamaha R15 V2,11,Chain Inspection,26,12:18,2012,29177,-2,2023
Yamaha FZ 250,2,Oil Change,18,05:-4,2021,16717,6,2023
Yamaha R15 V1,5,Brake Fluid Change,30,08:40,2018,8689,11,2023
Yamaha MT15 v2,10,Brake Inspection,0,13:50,2013,30275,8,2023
Yamaha R15 V2,5,Fork Oil Change,30,08:37,2018,36443,8,2023
Yamaha MT15 v2,5,Air Filter Change,23,05:37,2018,32689,9,2023
Yamaha R15 V1,12,Chain Inspection,29,13:12,2011,21510,2,2023
Yamaha R15 V4,5,Brake Fluid Change,13,05:56,2018,21050,3,2023
Yamaha FZ V3,3,Brake Inspection,14,01:57,2020,29437,4,2023
Yamaha MT15 v2,0,Brake Inspection,23,-1:59,2023,30457,9,2023
Yamaha R15 V3,2,Fork Oil Change,5,05:41,2021,20585,9,2023
Yamaha R15 V2,12,Fork Oil Change,15,11:00,2011,23699,4,2023
Yamaha R15 V3,6,Chain Inspection,25,09:22,2017,24615,1,2023
Yamaha FZ V1,8,Chain Inspection,9,07:50,2015,34080,8,2023
Yamaha FZ V2,10,Brake Fluid Change,29,08:21,2013,5994,7,2023
Yamaha R15 V2,10,Complete Check Up,13,17:13,2013,13872,14,2023
Yamaha R15 V3,5,Oil Change,3,05:57,2018,5230,3,2023
Yamaha R15 V3,7,Air Filter Change,12,08:55,2016,10332,8,2023
Yamaha MT15 v2,8,Chain Inspection,22,09:72,2015,51263,13,2023
Yamaha FZ V3,4,Chain Inspection,9,04:-9,2019,52179,2,2023
Yamaha FZ V3,0,Chain Inspection,9,-2:46,2023,15426,-1,2023
Yamaha R15 V2,9,Coolant Oil Change,12,07:45,2014,17757,7,2023
Yamaha FZ V3,3,Brake Inspection,8,05:27,2020,43811,10,2023
Yamaha R15 V3,1,Fork Oil Change,2,01:52,2022,21127,10,2023
Yamaha FZ 250,6,Air Filter Change,23,03:35,2017,10785,6,2023
Yamaha FZ X,13,Complete Check Up,7,26:74,2010,68167,10,2023
Yamaha FZ X,6,Air Filter Change,13,06:36,2017,27923,13,2023
Yamaha MT15 v2,6,Chain Inspection,19,03:49,2017,34739,8,2023
Yamaha MT15 v2,9,Fork Oil Change,31,09:83,2014,12770,9,2023
Yamaha MT15 v1,9,Complete Check Up,7,16:48,2014,44801,8,2023
Yamaha FZ X,12,Oil Change,-5,11:65,2011,45681,13,2023
Yamaha FZ X,6,Chain Inspection,12,04:34,2017,42322,10,2023
Yamaha MT15 v2,10,Chain Inspection,22,12:39,2013,19039,13,2023
Yamaha FZ 250,3,Brake Fluid Change,4,00:74,2020,45976,10,2023
Yamaha R15 V3,7,Coolant Oil Change,21,07:06,2016,29247,2,2023
Yamaha R15 V4,6,Chain Inspection,13,07:04,2017,13705,10,2023
Yamaha R15 V1,6,Oil Change,2,03:35,2017,13864,0,2023
Yamaha MT15 v1,3,Oil Change,13,02:14,2020,37958,12,2023
Yamaha R15 V2,7,Coolant Oil Change,11,07:10,2016,50501,7,2023
Yamaha FZ X,12,Coolant Oil Change,3,10:13,2011,61092,9,2023
Yamaha FZ V1,4,Complete Check Up,12,08:72,2019,42744,1,2023
Yamaha FZ V3,1,Fork Oil Change,6,00:24,2022,22507,2,2023
Yamaha R15 V3,5,Air Filter Change,0,06:67,2018,48236,5,2023
Yamaha FZ V3,0,Chain Inspection,24,-2:34,2023,14559,-1,2023
Yamaha MT15 v2,0,Chain Inspection,12,01:12,2023,9768,13,2023
Yamaha FZ V2,11,Air Filter Change,5,12:21,2012,58782,2,2023
Yamaha MT15 v2,6,Brake Inspection,22,03:39,2017,24164,0,2023
Yamaha R15 V1,6,Coolant Oil Change,12,08:29,2017,28327,10,2023
Yamaha FZ V2,6,Air Filter Change,6,07:02,2017,31738,9,2023
Yamaha MT15 v1,1,Oil Change,28,01:27,2022,21029,3,2023
Yamaha FZ V1,3,Brake Inspection,18,00:47,2020,8050,8,2023
Yamaha FZ V2,0,Brake Fluid Change,10,01:42,2023,5925,7,2023
Yamaha MT15 v1,8,Brake Fluid Change,18,11:44,2015,23409,0,2023
Yamaha FZ V2,13,Fork Oil Change,13,10:36,2010,28708,10,2023
Yamaha R15 V1,2,Coolant Oil Change,9,00:21,2021,24866,7,2023
Yamaha MT15 v2,5,Air Filter Change,-5,04:11,2018,18192,5,2023
Yamaha R15 V1,2,Air Filter Change,32,03:67,2021,24901,7,2023
Yamaha MT15 v1,13,Chain Inspection,17,16:29,2010,41604,8,2023
Yamaha R15 V4,8,Oil Change,19,11:42,2015,52850,11,2023
Yamaha R15 V4,11,Complete Check Up,22,20:27,2012,59288,12,2023
Yamaha MT15 v1,9,Brake Inspection,-4,10:14,2014,33212,6,2023
Yamaha MT15 v2,9,Brake Inspection,12,08:00,2014,58019,5,2023
Yamaha FZ V3,8,Brake Fluid Change,17,10:48,2015,60621,7,2023
Yamaha R15 V2,1,Fork Oil Change,18,02:13,2022,16426,4,2023
Yamaha MT15 v2,4,Oil Change,14,02:12,2019,10775,14,2023
Yamaha R15 V2,3,Complete Check Up,20,09:20,2020,45675,3,2023
Yamaha MT15 v1,12,Brake Inspection,32,11:56,2011,35550,8,2023
Yamaha R15 V4,9,Chain Inspection,-1,06:-11,2014,48423,8,2023
Yamaha R15 V1,7,Brake Fluid Change,12,04:59,2016,38906,11,2023
Yamaha R15 V3,3,Complete Check Up,13,08:32,2020,40127,9,2023
Yamaha R15 V4,5,Brake Fluid Change,17,02:35,2018,16240,0,2023
Yamaha R15 V4,9,Air Filter Change,12,07:37,2014,24059,6,2023
Yamaha FZ V2,0,Fork Oil Change,3,-2:51,2023,7547,10,2023
Yamaha R15 V1,2,Coolant Oil Change,19,01:29,2021,21308,3,2023
Yamaha FZ V2,12,Brake Inspection,6,10:53,2011,14594,2,2023
Yamaha R15 V1,10,Complete Check Up,2,23:22,2013,40198,11,2023
Yamaha FZ V2,10,Air Filter Change,6,07:33,2013,43443,5,2023
Yamaha MT15 v1,10,Chain Inspection,11,12:33,2013,54786,0,2023
Yamaha FZ V2,6,Fork Oil Change,18,07:08,2017,28143,2,2023
Yamaha FZ 250,7,Brake Fluid Change,16,06:55,2016,36213,11,2023
Yamaha FZ V1,13,Brake Fluid Change,16,16:28,2010,38191,4,2023
Yamaha R15 V3,5,Coolant Oil Change,19,07:85,2018,41517,9,2023
Yamaha FZ X,1,Air Filter Change,-2,04:18,2022,21334,4,2023
Yamaha FZ 250,10,Fork Oil Change,22,13:40,2013,20673,4,2023
Yamaha R15 V1,1,Air Filter Change,32,02:10,2022,25325,5,2023
Yamaha FZ 250,4,Oil Change,16,04:19,2019,38034,10,2023
Yamaha R15 V1,12,Chain Inspection,29,15:-17,2011,38472,13,2023
Yamaha FZ X,13,Complete Check Up,5,23:64,2010,37995,7,2023
Yamaha FZ X,6,Chain Inspection,4,07:84,2017,54512,-2,2023
Yamaha MT15 v1,3,Fork Oil Change,9,04:42,2020,-693,1,2023
Yamaha R15 V3,4,Complete Check Up,17,06:16,2019,15677,11,2023
Yamaha FZ V1,4,Coolant Oil Change,13,05:06,2019,2793,5,2023
Yamaha FZ X,11,Brake Fluid Change,23,08:78,2012,30016,3,2023
Yamaha R15 V3,1,Brake Inspection,9,00:60,2022,19390,9,2023
Yamaha R15 V4,13,Complete Check Up,10,24:00,2010,22231,1,2023
Yamaha FZ V1,4,Complete Check Up,29,09:15,2019,33634,8,2023
Yamaha R15 V4,13,Fork Oil Change,26,11:46,2010,34689,3,2023
Yamaha R15 V4,9,Coolant Oil Change,5,11:55,2014,58825,10,2023
Yamaha MT15 v1,10,Fork Oil Change,28,10:39,2013,65879,0,2023
Yamaha MT15 v1,4,Brake Inspection,1,02:54,2019,31600,1,2023
Yamaha R15 V3,7,Oil Change,25,04:42,2016,31006,11,2023
Yamaha FZ V2,5,Fork Oil Change,32,03:63,2018,34623,4,2023
Yamaha R15 V4,0,Coolant Oil Change,17,-1:38,2023,26249,11,2023
Yamaha R15 V2,13,Chain Inspection,25,13:25,2010,66372,6,2023
Yamaha R15 V2,6,Air Filter Change,23,06:24,2017,33260,11,2023
Yamaha FZ 250,2,Coolant Oil Change,25,01:22,2021,25385,1,2023
Yamaha FZ X,11,Complete Check Up,22,24:-8,2012,39996,8,2023
Yamaha FZ X,7,Brake Inspection,19,05:30,2016,24908,1,2023
Yamaha R15 V1,0,Brake Inspection,14,01:57,2023,8187,4,2023
Yamaha FZ 250,8,Complete Check Up,6,13:39,2015,54089,6,2023
Yamaha FZ V3,10,Complete Check Up,25,17:09,2013,41771,6,2023
Yamaha FZ 250,11,Complete Check Up,14,24:20,2012,44132,2,2023
Yamaha MT15 v1,5,Chain Inspection,6,06:40,2018,7625,11,2023
Yamaha FZ V2,4,Brake Inspection,22,04:09,2019,3495,2,2023
Yamaha FZ V3,2,Coolant Oil Change,16,02:26,2021,30403,2,2023
Yamaha R15 V3,8,Air Filter Change,-1,08:15,2015,53385,13,2023
Yamaha FZ V2,11,Air Filter Change,13,14:30,2012,23327,8,2023
Yamaha FZ V2,5,Fork Oil Change,9,08:17,2018,9588,12,2023
Yamaha FZ V1,12,Fork Oil Change,23,09:62,2011,30795,1,2023
Yamaha R15 V4,1,Brake Fluid Change,18,03:21,2022,32576,0,2023
Yamaha FZ X,9,Fork Oil Change,24,11:-13,2014,7318,2,2023
Yamaha R15 V2,5,Oil Change,14,08:-22,2018,21710,14,2023
Yamaha MT15 v1,12,Chain Inspection,19,15:21,2011,64068,4,2023
Yamaha MT15 v1,8,Fork Oil Change,-1,07:08,2015,54862,7,2023
Yamaha R15 V2,11,Brake Inspection,30,09:56,2012,24633,7,2023
Yamaha R15 V3,10,Brake Fluid Change,3,11:47,2013,42468,5,2023
Yamaha FZ V3,1,Brake Fluid Change,25,-1:31,2022,31165,6,2023
Yamaha R15 V1,7,Chain Inspection,3,07:02,2016,35527,8,2023
Yamaha R15 V1,12,Brake Fluid Change,14,11:24,2011,27583,9,2023
Yamaha FZ V2,12,Complete Check Up,31,26:48,2011,33387,1,2023
Yamaha MT15 v1,2,Complete Check Up,3,03:-12,2021,14402,7,2023
Yamaha FZ V2,13,Chain Inspection,17,15:38,2010,62586,5,2023
Yamaha FZ V1,13,Coolant Oil Change,1,11:47,2010,70717,10,2023
Yamaha R15 V4,3,Brake Inspection,15,02:05,2020,16115,10,2023
Yamaha FZ V3,6,Coolant Oil Change,22,03:77,2017,23401,10,2023
Yamaha FZ V1,2,Air Filter Change,-1,04:34,2021,10840,0,2023
Yamaha R15 V2,11,Oil Change,14,09:63,2012,43432,7,2023
Yamaha R15 V1,11,Chain Inspection,-1,09:34,2012,6967,13,2023
Yamaha FZ 250,1,Chain Inspection,29,-1:02,2022,40963,10,2023
Yamaha FZ V3,8,Brake Fluid Change,29,05:01,2015,34215,10,2023
Yamaha FZ V3,6,Chain Inspection,19,06:27,2017,47808,0,2023
Yamaha R15 V3,10,Brake Fluid Change,5,09:60,2013,16983,9,2023
Yamaha FZ 250,12,Coolant Oil Change,14,13:37,2011,38671,2,2023
Yamaha FZ V1,12,Brake Fluid Change,25,15:31,2011,43747,6,2023
Yamaha MT15 v2,3,Oil Change,19,01:40,2020,36189,8,2023
Yamaha MT15 v1,0,Complete Check Up,28,-2:-6,2023,23890,9,2023
Yamaha MT15 v1,0,Air Filter Change,30,-1:65,2023,7767,13,2023
Yamaha MT15 v2,4,Complete Check Up,30,07:18,2019,34409,11,2023
Yamaha R15 V2,8,Complete Check Up,32,17:77,2015,48976,15,2023
Yamaha R15 V2,6,Chain Inspection,15,04:72,2017,42894,-1,2023
Yamaha R15 V2,6,Fork Oil Change,13,05:56,2017,37026,9,2023
Yamaha R15 V3,8,Brake Inspection,20,11:51,2015,24687,7,2023
Yamaha R15 V1,1,Fork Oil Change,8,01:34,2022,19955,5,2023
Yamaha FZ V1,8,Chain Inspection,26,07:55,2015,40969,7,2023
Yamaha R15 V2,2,Complete Check Up,26,01:81,2021,28765,8,2023
Yamaha MT15 v2,6,Coolant Oil Change,18,04:34,2017,39920,6,2023
Yamaha R15 V2,1,Fork Oil Change,16,02:37,2022,14153,12,2023
Yamaha FZ 250,5,Complete Check Up,27,07:18,2018,14343,-1,2023
Yamaha R15 V4,9,Fork Oil Change,10,08:55,2014,46624,2,2023
Yamaha FZ V1,6,Coolant Oil Change,14,04:64,2017,47305,11,2023
Yamaha R15 V4,0,Fork Oil Change,33,-3:84,2023,25145,8,2023
Yamaha FZ V1,7,Complete Check Up,4,12:12,2016,39834,1,2023
Yamaha FZ V3,1,Air Filter Change,25,04:31,2022,23366,4,2023
Yamaha FZ V2,2,Brake Inspection,22,03:14,2021,12966,10,2023
Yamaha FZ X,9,Brake Fluid Change,9,11:-3,2014,55952,4,2023
Yamaha MT15 v1,2,Complete Check Up,-4,03:10,2021,16321,5,2023
Yamaha R15 V1,4,Coolant Oil Change,2,06:14,2019,33510,5,2023
Yamaha MT15 v1,8,Oil Change,21,07:-10,2015,14640,5,2023
Yamaha MT15 v2,5,Fork Oil Change,14,07:10,2018,29927,6,2023
Yamaha R15 V1,6,Chain Inspection,15,08:39,2017,48098,3,2023
Yamaha FZ X,1,Chain Inspection,29,02:64,2022,15158,1,2023
Yamaha FZ 250,8,Coolant Oil Change,0,05:16,2015,56811,2,2023
Yamaha FZ 250,1,Complete Check Up,12,00:67,2022,1605,5,2023
Yamaha FZ 250,2,Brake Inspection,0,02:42,2021,39052,3,2023
Yamaha FZ V1,4,Coolant Oil Change,-4,05:36,2019,49839,5,2023
Yamaha MT15 v1,3,Brake Inspection,7,00:20,2020,22249,4,2023
Yamaha FZ V3,12,Chain Inspection,0,09:49,2011,52886,0,2023
Yamaha R15 V4,10,Oil Change,24,10:29,2013,23306,8,2023
Yamaha MT15 v2,11,Air Filter Change,20,09:31,2012,12399,5,2023
Yamaha R15 V2,11,Chain Inspection,30,08:25,2012,34410,7,2023
Yamaha FZ X,8,Coolant Oil Change,14,07:28,2015,12361,5,2023
Yamaha R15 V2,9,Brake Fluid Change,18,08:34,2014,55251,5,2023
Yamaha FZ 250,10,Chain Inspection,14,07:82,2013,10222,11,2023
Yamaha FZ V2,9,Complete Check Up,5,15:-1,2014,56761,2,2023
Yamaha R15 V3,13,Oil Change,18,15:20,2010,14194,8,2023
Yamaha FZ X,3,Complete Check Up,30,08:25,2020,35171,12,2023
Yamaha R15 V3,2,Chain Inspection,8,05:69,2021,30191,10,2023
Yamaha R15 V4,5,Chain Inspection,24,03:41,2018,35948,10,2023
Yamaha R15 V3,2,Oil Change,22,02:26,2021,39316,12,2023
Yamaha MT15 v2,3,Coolant Oil Change,17,04:40,2020,-127,6,2023
Yamaha R15 V3,1,Brake Inspection,14,01:38,2022,18281,11,2023
Yamaha FZ V1,10,Brake Fluid Change,7,10:44,2013,31310,8,2023
Yamaha FZ V2,5,Coolant Oil Change,3,07:26,2018,6452,9,2023
Yamaha R15 V2,3,Brake Inspection,9,05:04,2020,33878,11,2023
Yamaha FZ V3,13,Oil Change,18,14:34,2010,55152,7,2023
Yamaha MT15 v1,9,Oil Change,12,09:-11,2014,46802,9,2023
Yamaha FZ V3,2,Brake Inspection,13,01:58,2021,10417,12,2023
Yamaha R15 V3,9,Coolant Oil Change,5,12:71,2014,51017,12,2023
Yamaha FZ 250,1,Air Filter Change,17,04:32,2022,10546,1,2023
Yamaha MT15 v2,9,Brake Fluid Change,5,10:-12,2014,29002,3,2023
Yamaha R15 V1,11,Complete Check Up,16,20:46,2012,39584,5,2023
Yamaha FZ 250,3,Brake Fluid Change,5,00:-18,2020,26660,7,2023
Yamaha R15 V3,5,Chain Inspection,8,05:32,2018,33615,10,2023
Yamaha FZ V3,3,Air Filter Change,30,00:-10,2020,18189,9,2023
Yamaha FZ V1,3,Brake Inspection,19,04:42,2020,29569,3,2023
Yamaha MT15 v1,3,Air Filter Change,24,03:68,2020,30887,1,2023
Yamaha FZ V3,12,Air Filter Change,23,12:64,2011,44692,6,2023
Yamaha MT15 v1,8,Complete Check Up,8,13:51,2015,35550,11,2023
Yamaha R15 V1,1,Air Filter Change,22,02:-12,2022,14716,1,2023
Yamaha R15 V4,7,Complete Check Up,26,11:44,2016,37599,9,2023
Yamaha FZ 250,5,Chain Inspection,9,07:07,2018,19634,9,2023
Yamaha R15 V2,8,Brake Fluid Change,1,06:65,2015,48883,3,2023
Yamaha R15 V3,3,Complete Check Up,6,05:15,2020,42690,7,2023
Yamaha R15 V4,0,Complete Check Up,29,02:35,2023,25123,8,2023
Yamaha R15 V3,10,Oil Change,6,11:29,2013,8152,4,2023
Yamaha FZ V2,7,Complete Check Up,4,11:22,2016,10291,15,2023
Yamaha R15 V2,5,Brake Inspection,13,05:82,2018,39389,11,2023
Yamaha FZ X,10,Oil Change,7,10:14,2013,24648,6,2023
Yamaha R15 V4,7,Complete Check Up,7,12:-18,2016,16235,5,2023
Yamaha FZ V3,8,Brake Inspection,9,07:48,2015,19989,8,2023
Yamaha FZ V1,6,Coolant Oil Change,18,07:64,2017,52169,7,2023
Yamaha R15 V1,0,Chain Inspection,15,02:15,2023,23652,5,2023
Yamaha R15 V4,4,Fork Oil Change,15,07:-1,2019,19356,13,2023
Yamaha FZ V2,10,Chain Inspection,20,08:07,2013,47305,1,2023
Yamaha R15 V3,7,Air Filter Change,4,08:30,2016,47936,1,2023
Yamaha FZ X,5,Air Filter Change,8,03:28,2018,43960,7,2023
Yamaha FZ 250,5,Fork Oil Change,8,06:27,2018,45284,8,2023
Yamaha MT15 v1,4,Brake Fluid Change,14,04:24,2019,21336,5,2023
Yamaha R15 V4,9,Complete Check Up,21,16:22,2014,11774,11,2023
Yamaha FZ V3,11,Fork Oil Change,16,11:35,2012,50367,11,2023
Yamaha R15 V2,13,Oil Change,9,14:28,2010,62386,4,2023
